,Song Title,Artist,Year,Position
74,Give It Up,K.C.,1984,75
75,I'm So Excited,Pointer Sisters,1984,76
76,I Still Can't Get Over Loving You,Ray Parker Jr.,1984,77
77,Thriller,Michael Jackson,1984,78
78,Holiday,Madonna,1984,79
79,Breakin'... There's No Stopping Us,Ollie And Jerry,1984,80
80,Nobody Told Me,John Lennon,1984,81
81,Church Of The Poison Mind,Culture Club,1984,82
82,Think Of Laura,Christopher Cross,1984,83
83,Time Will Reveal,Debarge,1984,84
84,Wrapped Around Your Finger,Police,1984,85
85,Pink Houses,John Cougar Mellencamp,1984,86
86,Round And Round,Ratt,1984,87
87,Head Over Heels,Go-Go's,1984,88
88,The Longest Time,Billy Joel,1984,89
89,Tonight,Kool and The Gang,1984,90
90,Got A Hold On Me,Christine McVie,1984,91
91,Dancing In The Sheets,Shalamar,1984,92
92,Undercover Of The Night,Rolling Stones,1984,93
93,On The Dark Side,John Cafferty and The Beaver Brown Band,1984,94
94,New Moon On Monday,Duran Duran,1984,95
95,Major Tom (Coming Home),Peter Schilling,1984,96
96,Magic,Cars,1984,97
97,When You Close Your Eyes,Night Ranger,1984,98
98,Rock Me Tonite,Billy Squier,1984,99
99,Yah Mo B There,James Ingram and Michael McDonald,1984,100
0,Careless Whisper,Wham!,1985,1
1,Like A Virgin,Madonna,1985,2
2,Wake Me Up Before You Go-Go,Wham!,1985,3
3,I Want To Know What Love Is,Foreigner,1985,4
4,I Feel For You,Chaka Khan,1985,5
5,Out Of Touch,Daryl Hall and John Oates,1985,6
6,Everybody Wants To Rule The World,Tears For Fears,1985,7
7,Money For Nothing,Dire Straits,1985,8
8,Crazy For You,Madonna,1985,9
9,Take On Me,a-ha,1985,10
10,Everytime You Go Away,Paul Young,1985,11
11,Easy Lover,Philip Bailey and Phil Collins,1985,12
12,Can't Fight This Feeling,REO Speedwagon,1985,13
13,We Built This City,Starship,1985,14
14,The Power Of Love,Huey Lewis and The News,1985,15
15,Don't You (Forget About Me),Simple Minds,1985,16
16,Cherish,Kool and The Gang,1985,17
17,St. Elmo's Fire (Man In Motion),John Parr,1985,18
18,The Heat Is On,Glenn Frey,1985,19
19,We Are The World,U.S.A. For Africa,1985,20
20,Shout,Tears For Fears,1985,21
21,Part-Time Lover,Stevie Wonder,1985,22
22,Saving All My Love For You,Whitney Houston,1985,23
23,Heaven,Bryan Adams,1985,24
24,Everything She Wants,Wham!,1985,25
25,Cool It Now,New Edition,1985,26
26,Miami Vice Theme,Jan Hammer,1985,27
27,Loverboy,Billy Ocean,1985,28
28,Lover Girl,Teena Marie,1985,29
29,You Belong To The City,Glenn Frey,1985,30
30,Oh Sheila,Ready For The World,1985,31
31,Rhythm Of The Night,Debarge,1985,32
32,One More Night,Phil Collins,1985,33
33,Sea Of Love,Honeydrippers,1985,34
34,A View To A Kill,Duran Duran,1985,35
35,The Wild Boys,Duran Duran,1985,36
36,You're The Inspiration,Chicago,1985,37
37,Neutron Dance,Pointer Sisters,1985,38
38,We Belong,Pat Benatar,1985,39
39,Nightshift,Commodores,1985,40
40,Things Can Only Get Better,Howard Jones,1985,41
41,All I Need,Jack Wagner,1985,42
42,Freeway Of Love,Aretha Franklin,1985,43
43,Never Surrender,Corey Hart,1985,44
44,Sussudio,Phil Collins,1985,45
45,Strut,Sheena Easton,1985,46
46,You Give Good Love,Whitney Houston,1985,47
47,The Search Is Over,Survivor,1985,48
48,Missing You,Diana Ross,1985,49
49,Separate Lives,Phil Collins and Marilyn Martin,1985,50
50,Raspberry Beret,Prince and The Revolution,1985,51
51,Suddenly,Billy Ocean,1985,52
52,The Boys Of Summer,Don Henley,1985,53
53,One Night In Bangkok,Murray Head,1985,54
54,If You Love Somebody Set Them Free,Sting,1985,55
55,Obsession,Animotion,1985,56
56,We Don't Need Another Hero,Tina Turner,1985,57
57,Material Girl,Madonna,1985,58
58,Better Be Good To Me,Tina Turner,1985,59
59,Head Over Heels,Tears For Fears,1985,60
60,Axel F,Harold Faltermeyer,1985,61
61,Smooth Operator,Sade,1985,62
62,In My House,Mary Jane Girls,1985,63
63,Don't Lose My Number,Phil Collins,1985,64
64,All Through The Night,Cyndi Lauper,1985,65
65,Run To You,Bryan Adams,1985,66
66,Glory Days,Bruce Springsteen,1985,67
67,Voices Carry,'Til Tuesday,1985,68
68,Misled,Kool and The Gang,1985,69
69,Would I Lie To You?,Eurythmics,1985,70
70,Be Near Me,ABC,1985,71
71,No More Lonely Nights,Paul McCartney,1985,72
72,I Can't Hold Back,Survivor,1985,73
73,Summer Of '69,Bryan Adams,1985,74
74,Walking On Sunshine,Katrina and The Waves,1985,75
75,Freedom,Wham!,1985,76
76,Too Late For Goodbyes,Julian Lennon,1985,77
77,Valotte,Julian Lennon,1985,78
78,Some Like It Hot,Power Station,1985,79
79,Solid,Ashford and Simpson,1985,80
80,Angel,Madonna,1985,81
81,I'm On Fire,Bruce Springsteen,1985,82
82,Method Of Modern Love,Daryl Hall and John Oates,1985,83
83,Lay Your Hands On Me,Thompson Twins,1985,84
84,Who's Holding Donna Now,Debarge,1985,85
85,Lonely Ol' Night,John Cougar Mellencamp,1985,86
86,What About Love,Heart,1985,87
87,California Girls,David Lee Roth,1985,88
88,Fresh,Kool and The Gang,1985,89
89,Do What You Do,Jermaine Jackson,1985,90
90,Jungle Love,Time,1985,91
91,Born In The USA,Bruce Springsteen,1985,92
92,Private Dancer,Tina Turner,1985,93
93,Who's Zoomin' Who,Aretha Franklin,1985,94
94,Fortress Around Your Heart,Sting,1985,95
95,Penny Lover,Lionel Richie,1985,96
96,All She Wants To Do Is Dance,Don Henley,1985,97
97,Dress You Up,Madonna,1985,98
98,Sentimental Street,Night Ranger,1985,99
99,Sugar Walls,Sheena Easton,1985,100
0,That's What Friends Are For,Dionne and Friends,1986,1
1,"Say You, Say Me",Lionel Richie,1986,2
2,I Miss You,Klymaxx,1986,3
3,On My Own,Patti Labelle and Michael McDonald,1986,4
4,Broken Wings,Mr. Mister,1986,5
5,How Will I Know,Whitney Houston,1986,6
6,Party All The Time,Eddie Murphy,1986,7
7,Burning Heart,Survivor,1986,8
8,Kyrie,Mr. Mister,1986,9
9,Addicted To Love,Robert Palmer,1986,10
10,Greatest Love Of All,Whitney Houston,1986,11
11,Secret Lovers,Atlantic Starr,1986,12
12,Friends And Lovers,Carl Anderson and Gloria Loring,1986,13
13,Glory Of Love,Peter Cetera,1986,14
14,West End Girls,Pet Shop Boys,1986,15
15,There'll Be Sad Songs,Billy Ocean,1986,16
16,Alive And Kicking,Simple Minds,1986,17
17,Never,Heart,1986,18
18,Kiss,Prince and The Revolution,1986,19
19,Higher Love,Steve Winwood,1986,20
20,Stuck With You,Huey Lewis and The News,1986,21
21,Holding Back The Years,Simply Red,1986,22
22,Sledgehammer,Peter Gabriel,1986,23
23,Sara,Starship,1986,24
24,Human,Human League,1986,25
25,I Can't Wait,Nu Shooz,1986,26
26,Take My Breath Away,Berlin,1986,27
27,Rock Me Amadeus,Falco,1986,28
28,Papa Don't Preach,Madonna,1986,29
29,You Give Love A Bad Name,Bon Jovi,1986,30
30,When The Going Gets Tough,Billy Ocean,1986,31
31,When I Think Of You,Janet Jackson,1986,32
32,These Dreams,Heart,1986,33
33,Don't Forget Me (When I'm Gone),Glass Tiger,1986,34
34,Live To Tell,Madonna,1986,35
35,Mad About You,Belinda Carlisle,1986,36
36,Something About You,Level 42,1986,37
37,Venus,Bananarama,1986,38
38,Dancing On The Ceiling,Lionel Richie,1986,39
39,Conga,Miami Sound Machine,1986,40
40,True Colors,Cyndi Lauper,1986,41
41,Danger Zone,Kenny Loggins,1986,42
42,What Have You Done For Me Lately,Janet Jackson,1986,43
43,No One Is To Blame,Howard Jones,1986,44
44,Let's Go All The Way,Sly Fox,1986,45
45,I Didn't Mean To Turn You On,Robert Palmer,1986,46
46,Words Get In The Way,Miami Sound Machine,1986,47
47,Manic Monday,Bangles,1986,48
48,Walk Of Life,Dire Straits,1986,49
49,Amanda,Boston,1986,50
50,Two Of Hearts,Stacey Q,1986,51
51,Crush On You,Jets,1986,52
52,If You Leave,Orchestral Manoeuvres In The Dark,1986,53
53,Invisible Touch,Genesis,1986,54
54,The Sweetest Taboo,Sade,1986,55
55,What You Need,INXS,1986,56
56,Talk To Me,Stevie Nicks,1986,57
57,Nasty,Janet Jackson,1986,58
58,Take Me Home Tonight,Eddie Money,1986,59
59,We Don't Have To Take Our Clothes Off,Jermaine Stewart,1986,60
60,All Cried Out,Lisa Lisa and Cult Jam With Full Force,1986,61
61,Your Love,Outfield,1986,62
62,I'm Your Man,Wham!,1986,63
63,Perfect Way,Scritti Politti,1986,64
64,Living In America,James Brown,1986,65
65,R.O.C.K. In The U.S.A.,John Cougar Mellencamp,1986,66
66,Who's Johnny,El Debarge,1986,67
67,Word Up,Cameo,1986,68
68,Why Can't This Be Love,Van Halen,1986,69
69,Silent Running,Mike and The Mechanics,1986,70
70,Typical Male,Tina Turner,1986,71
71,Small Town,John Cougar Mellencamp,1986,72
72,Tarzan Boy,Baltimora,1986,73
73,All I Need Is A Miracle,Mike and The Mechanics,1986,74
74,Sweet Freedom,Michael McDonald,1986,75
75,True Blue,Madonna,1986,76
76,Rumors,Timex Social Club,1986,77
77,Life In A Northern Town,Dream Academy,1986,78
78,Bad Boy,Miami Sound Machine,1986,79
79,Sleeping Bag,ZZ Top,1986,80
80,Tonight She Comes,Cars,1986,81
81,Love Touch,Rod Stewart,1986,82
82,A Love Bizarre,Sheila E.,1986,83
83,Throwing It All Away,Genesis,1986,84
84,Baby Love,Regina,1986,85
85,Election Day,Arcadia,1986,86
86,Nikita,Elton John,1986,87
87,Take Me Home,Phil Collins,1986,88
88,Walk This Way,Run-D.M.C.,1986,89
89,Sweet Love,Anita Baker,1986,90
90,Your Wildest Dreams,Moody Blues,1986,91
91,Spies Like Us,Paul McCartney,1986,92
92,Object Of My Desire,Starpoint,1986,93
93,Dreamtime,Daryl Hall,1986,94
94,Tender Love,Force M.D.'s,1986,95
95,King For A Day,Thompson Twins,1986,96
96,Love Will Conquer All,Lionel Richie,1986,97
97,A Different Corner,George Michael,1986,98
98,I'll Be Over You,Toto,1986,99
99,Go Home,Stevie Wonder,1986,100
0,Walk Like An Egyptian,Bangles,1987,1
1,Alone,Heart,1987,2
2,Shake You Down,Gregory Abbott,1987,3
3,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,1987,4
4,Nothing's Gonna Stop Us Now,Starship,1987,5
5,C'est La Vie,Robbie Nevil,1987,6
6,Here I Go Again,Whitesnake,1987,7
7,The Way It Is,Bruce Hornsby and The Range,1987,8
8,Shakedown,Bob Seger,1987,9
9,Livin' On A Prayer,Bon Jovi,1987,10
10,La Bamba,Los Lobos,1987,11
11,Everybody Have Fun Tonight,Wang Chung,1987,12
12,Don't Dream It's Over,Crowded House,1987,13
13,Always,Atlantic Starr,1987,14
14,With Or Without You,U2,1987,15
15,Looking For A New Love,Jody Watley,1987,16
16,Head To Toe,Lisa Lisa and Cult Jam,1987,17
17,I Think We're Alone Now,Tiffany,1987,18
18,Mony Mony,Billy Idol,1987,19
19,At This Moment,Billy Vera and The Beaters,1987,20
20,The Lady In Red,Chris De Burgh,1987,21
21,Didn't We Almost Have It All,Whitney Houston,1987,22
22,I Still Haven't Found What I'm Looking For,U2,1987,23
23,I Want Your Sex,George Michael,1987,24
24,Notorious,Duran Duran,1987,25
25,Only In My Dreams,Debbie Gibson,1987,26
26,(I've Had) The Time Of My Life,Bill Medley and Jennifer Warnes,1987,27
27,The Next Time I Fall,Peter Cetera and Amy Grant,1987,28
28,Lean On Me,Club Nouveau,1987,29
29,Open Your Heart,Madonna,1987,30
30,Lost In Emotion,Lisa Lisa and Cult Jam,1987,31
31,(I Just) Died In Your Arms,Cutting Crew,1987,32
32,Heart And Soul,T'pau,1987,33
33,You Keep Me Hangin' On,Kim Wilde,1987,34
34,Keep Your Hands To Yourself,Georgia Satellites,1987,35
35,I Knew You Were Waiting (For Me),Aretha Franklin and George Michael,1987,36
36,Control,Janet Jackson,1987,37
37,U Got The Look,Prince,1987,38
38,Somewhere Out There,Linda Ronstadt and James Ingram,1987,39
39,Land Of Confusion,Genesis,1987,40
40,Jacob's Ladder,Huey Lewis and The News,1987,41
41,Who's That Girl,Madonna,1987,42
42,You Got It All,Jets,1987,43
43,Touch Me (I Want Your Body),Samantha Fox,1987,44
44,I Just Can't Stop Loving You,Michael Jackson and Siedah Garrett,1987,45
45,Causing A Commotion,Madonna,1987,46
46,In Too Deep,Genesis,1987,47
47,Let's Wait Awhile,Janet Jackson,1987,48
48,Hip To Be Square,Huey Lewis and The News,1987,49
49,Will You Still Love Me?,Chicago,1987,50
50,Little Lies,Fleetwood Mac,1987,51
51,Luka,Suzanne Vega,1987,52
52,I Heard A Rumour,Bananarama,1987,53
53,Don't Mean Nothing,Richard Marx,1987,54
54,Songbird,Kenny G,1987,55
55,Carrie,Europe,1987,56
56,Don't Disturb This Groove,System,1987,57
57,La Isla Bonita,Madonna,1987,58
58,Bad,Michael Jackson,1987,59
59,Sign 'O' The Times,Prince,1987,60
60,Change Of Heart,Cyndi Lauper,1987,61
61,Come Go With Me,Expose,1987,62
62,Can't We Try,Dan Hill,1987,63
63,To Be A Lover,Billy Idol,1987,64
64,Mandolin Rain,Bruce Hornsby and The Range,1987,65
65,Breakout,Swing Out Sister,1987,66
66,Stand By Me,Ben E. King,1987,67
67,"Tonight, Tonight, Tonight",Genesis,1987,68
68,Someday,Glass Tiger,1987,69
69,When Smokey Sings,ABC,1987,70
70,Casanova,Levert,1987,71
71,Rhythm Is Gonna Get You,Gloria Estefan and Miami Sound Machine,1987,72
72,Rock Steady,Whispers,1987,73
73,Wanted Dead Or Alive,Bon Jovi,1987,74
74,Big Time,Peter Gabriel,1987,75
75,The Finer Things,Steve Winwood,1987,76
76,Let Me Be The One,Expose,1987,77
77,Is This Love,Survivor,1987,78
78,Diamonds,Herb Alpert,1987,79
79,Point Of No Return,Expose,1987,80
80,Big Love,Fleetwood Mac,1987,81
81,Midnight Blue,Lou Gramm,1987,82
82,Something So Strong,Crowded House,1987,83
83,Heat Of The Night,Bryan Adams,1987,84
84,Nothing's Gonna Change My Love For You,Glenn Medeiros,1987,85
85,Brilliant Disguise,Bruce Springsteen,1987,86
86,Just To See Her,Smokey Robinson,1987,87
87,Who Will You Run Too,Heart,1987,88
88,Respect Yourself,Bruce Willis,1987,89
89,Cross My Broken Heart,Jets,1987,90
90,Victory,Kool and The Gang,1987,91
91,Don't Get Me Wrong,Pretenders,1987,92
92,Doing It All For My Baby,Huey Lewis and The News,1987,93
93,Right On Track,Breakfast Club,1987,94
94,Ballerina Girl,Lionel Richie,1987,95
95,Meet Me Half Way,Kenny Loggins,1987,96
96,I've Been In Love Before,Cutting Crew,1987,97
97,(You Gotta) Fight For Your Right (To Party),Beastie Boys,1987,98
98,Funkytown,Pseudo Echo,1987,99
99,Love You Down,Ready For The World,1987,100
0,Faith,George Michael,1988,1
1,Need You Tonight,INXS,1988,2
2,Got My Mind Set On You,George Harrison,1988,3
3,Never Gonna Give You Up,Rick Astley,1988,4
4,Sweet Child O' Mine,Guns N' Roses,1988,5
5,So Emotional,Whitney Houston,1988,6
6,Heaven Is A Place On Earth,Belinda Carlisle,1988,7
7,Could've Been,Tiffany,1988,8
8,Hands To Heaven,Breathe,1988,9
9,Roll With It,Steve Winwood,1988,10
10,One More Try,George Michael,1988,11
11,Wishing Well,Terence Trent d'Arby,1988,12
12,Anything For You,Gloria Estefan and Miami Sound Machine,1988,13
13,The Flame,Cheap Trick,1988,14
14,"Get Outta My Dreams, Get Into My Car",Billy Ocean,1988,15
15,Seasons Change,Expose,1988,16
16,Is This Love,Whitesnake,1988,17
17,"Wild, Wild West",Escape Club,1988,18
18,Pour Some Sugar On Me,Def Leppard,1988,19
19,I'll Always Love You,Taylor Dayne,1988,20
20,Man In The Mirror,Michael Jackson,1988,21
21,Shake Your Love,Debbie Gibson,1988,22
22,Simply Irresistible,Robert Palmer,1988,23
23,Hold On To The Nights,Richard Marx,1988,24
24,Hungry Eyes,Eric Carnen,1988,25
25,Shattered Dreams,Johnny Hates Jazz,1988,26
26,Father Figure,George Michael,1988,27
27,Naughty Girls (Need Love Too),Samantha Fox,1988,28
28,A Groovy Kind Of Love,Phil Collins,1988,29
29,Love Bites,Def Leppard,1988,30
30,Endless Summer Nights,Richard Marx,1988,31
31,Foolish Beat,Debbie Gibson,1988,32
32,Where Do Broken Hearts Go,Whitney Houston,1988,33
33,Angel,Aerosmith,1988,34
34,Hazy Shade Of Winter,Bangles,1988,35
35,The Way You Make Me Feel,Michael Jackson,1988,36
36,"Don't Worry, Be Happy",Bobby McFerrin,1988,37
37,Make Me Lose Control,Eric Carnen,1988,38
38,Red Red Wine,UB40,1988,39
39,She's Like The Wind,Patric Swayze,1988,40
40,Bad Medicine,Bon Jovi,1988,41
41,Kokomo,Beach Boys,1988,42
42,I Don't Wanna Go On With You Like That,Elton John,1988,43
43,Together Forever,Rick Astley,1988,44
44,Monkey,George Michael,1988,45
45,Devil Inside,INXS,1988,46
46,Should've Known Better,Richard Marx,1988,47
47,I Don't Wanna Live Without Your Love,Chicago,1988,48
48,The Loco-Motion,Kylie Minogue,1988,49
49,What Have I Done To Deserve This?,Pet Shop Boys and Dusty Springfield,1988,50
50,Make It Real,Jets,1988,51
51,What's On Your Mind,Information Society,1988,52
52,Tell It To My Heart,Taylor Dayne,1988,53
53,Out Of The Blue,Debbie Gibson,1988,54
54,Don't You Want Me,Jody Watley,1988,55
55,Desire,U2,1988,56
56,I Get Weak,Belinda Carlisle,1988,57
57,Sign Your Name,Terence Trent d'Arby,1988,58
58,I Want To Be Your Man,Roger,1988,59
59,Girlfriend,Pebbles,1988,60
60,Dirty Diana,Michael Jackson,1988,61
61,1/2/03,Gloria Estefan and Miami Sound Machine,1988,62
62,Mercedes Boy,Pebbles,1988,63
63,Perfect World,Huey Lewis and The News,1988,64
64,New Sensation,INXS,1988,65
65,Catch Me (I'm Falling),Pretty Poison,1988,66
66,If It Isn't Love,New Edition,1988,67
67,Rocket 2 U,Jets,1988,68
68,One Good Woman,Peter Cetera,1988,69
69,Don't Be Cruel,Cheap Trick,1988,70
70,Candle In The Wind,Elton John,1988,71
71,Everything Your Heart Desires,Daryl Hall and John Oates,1988,72
72,Say You Will,Foreigner,1988,73
73,I Want Her,Keith Sweat,1988,74
74,Pink Cadillac,Natalie Cole,1988,75
75,Fast Car,Tracy Chapman,1988,76
76,Electric Blue,Icehouse,1988,77
77,The Valley Road,Bruce Hornsby and The Range,1988,78
78,Don't Be Cruel,Bobby Brown,1988,79
79,Always On My Mind,Pet Shop Boys,1988,80
80,Piano In The Dark,Brenda Russell feat. Joe Esposito,1988,81
81,When It's Love,Van Halen,1988,82
82,Don't Shed A Tear,Paul Carrack,1988,83
83,We'll Be Together,Sting,1988,84
84,I Hate Myself For Loving You,Joan Jett and The Blackhearts,1988,85
85,I Don't Want To Live Without You,Foreigner,1988,86
86,Nite And Day,Al B. Sure!,1988,87
87,Don't You Know What The Night Can Do,Steve Winwood,1988,88
88,One Moment In Time,Whitney Houston,1988,89
89,Can't Stay Away From You,Gloria Estefan and Miami Sound Machine,1988,90
90,Kissing A Fool,George Michael,1988,91
91,Cherry Bomb,John Cougar Mellancamp,1988,92
92,I Still Believe,Brenda K. Starr,1988,93
93,I Found Someone,Cher,1988,94
94,Never Tear Us Apart,INXS,1988,95
95,Valerie,Steve Winwood,1988,96
96,Just Like Paradise,David Lee Roth,1988,97
97,Nothin' But A Good Time,Poison,1988,98
98,Wait,White Lion,1988,99
99,Prove Your Love,Taylor Dayne,1988,100
0,Look Away,Chicago,1989,1
1,My Prerogative,Bobby Brown,1989,2
2,Every Rose Has Its Thorn,Poison,1989,3
3,Straight Up,Paula Abdul,1989,4
4,Miss You Much,Janet Jackson,1989,5
5,Cold Hearted,Paula Abdul,1989,6
6,Wind Beneath My Wings,Bette Midler,1989,7
7,Girl You Know It's True,Milli Vanilli,1989,8
8,"Baby, I Love Your Way-Freebird",Will To Power,1989,9
9,Giving You The Best That I Got,Anita Baker,1989,10
10,Right Here Waiting,Richard Marx,1989,11
11,Waiting For A Star To Fall,Boy Meets Girl,1989,12
12,Lost In Your Eyes,Debbie Gibson,1989,13
13,Don't Wanna Lose You,Gloria Estefan,1989,14
14,Heaven,Warrant,1989,15
15,Girl I'm Gonna Miss You,Milli Vanilli,1989,16
16,The Look,Roxette,1989,17
17,She Drives Me Crazy,Fine Young Cannibals,1989,18
18,On Our Own,Bobby Brown,1989,19
19,Two Hearts,Phil Collins,1989,20
20,Blame It On The Rain,Milli Vanilli,1989,21
21,Listen To Your Heart,Roxette,1989,22
22,I'll Be There For You,Bon Jovi,1989,23
23,If You Don't Know Be By Now,Simply Red,1989,24
24,Like A Prayer,Madonna,1989,25
25,I'll Be Loving You (Forever),New Kids On The Block,1989,26
26,How Can I Fall?,Breathe,1989,27
27,Baby Don't Forget My Number,Milli Vanilli,1989,28
28,Toy Soliders,Martika,1989,29
29,Forever Your Girl,Paula Abdul,1989,30
30,The Living Years,Mike and The Mechanics,1989,31
31,Eternal Flame,Bangles,1989,32
32,Wild Thing,Tone Loc,1989,33
33,When I See You Smile,Bad English,1989,34
34,If I Could Turn Back Time,Cher,1989,35
35,Buffalo Stance,Neneh Cherry,1989,36
36,When I'm With You,Sheriff,1989,37
37,Don't Rush Me,Taylor Dayne,1989,38
38,Born To Be My Baby,Bon Jovi,1989,39
39,Good Thing,Fine Young Cannibals,1989,40
40,The Lover In Me,Sheena Easton,1989,41
41,Bust A Move,Young M.C.,1989,42
42,"Once Bitten, Twice Shy",Great White,1989,43
43,Batdance,Prince,1989,44
44,Rock On,Michael Damian,1989,45
45,Real Love,Jody Watley,1989,46
46,Love Shack,B-52's,1989,47
47,Every Little Step,Bobby Brown,1989,48
48,Hangin' Tough,New Kids On The Block,1989,49
49,My Heart Can't Tell You No,Rod Stewart,1989,50
50,So Alive,Love and Rockets,1989,51
51,You Got It (The Right Stuff),New Kids On The Block,1989,52
52,Armageddon It,Def Leppard,1989,53
53,Satisfied,Richard Marx,1989,54
54,Express Yourself,Madonna,1989,55
55,I Like It,Dino,1989,56
56,Soldier Of Love,Donny Osmond,1989,57
57,Sowing The Seeds Of Love,Tears For Fears,1989,58
58,Cherish,Madonna,1989,59
59,When The Children Cry,White Lion,1989,60
60,18 And Life,Skid Row,1989,61
61,I Don't Want Your Love,Duran Duran,1989,62
62,Second Chances,.38 Special,1989,63
63,The Way You Love Me,Karyn White,1989,64
64,Funky Cold Medina,Tone Loc,1989,65
65,In Your Room,Bangles,1989,66
66,Miss You Like Crazy,Natalie Cole,1989,67
67,Love Song,Cure,1989,68
68,Secret Rendesvous,Karyn White,1989,69
69,Angel Eyes,Jeff Healey Band,1989,70
70,Patience,Guns N' Roses,1989,71
71,Walk On Water,Eddie Money,1989,72
72,Cover Girl,New Kids On The Block,1989,73
73,Welcome To The Jungle,Guns N' Roses,1989,74
74,Shower Me With Your Love,Surface,1989,75
75,Stand,R.E.M.,1989,76
76,Close My Eyes Forever,Lita Ford,1989,77
77,All This Time,Tiffany,1989,78
78,After All,Cher and Peter Cetera,1989,79
79,Roni,Bobby Brown,1989,80
80,Love In An Elevator,Aerosmith,1989,81
81,Lay Your Hands On Me,Bon Jovi,1989,82
82,This Promise,When In Rome,1989,83
83,What I Am,Edie Brickell and The New Bohemians,1989,84
84,I Remember Holding You,Boys Club,1989,85
85,Paradise City,Guns N' Roses,1989,86
86,Iwanna Have Some Fun,Samantha Fox,1989,87
87,She Wants To Dance With Me,Rick Astley,1989,88
88,Dreamin',Vanessa Williams,1989,89
89,It's No Crime,Babyface,1989,90
90,Poison,Alice Cooper,1989,91
91,This Time I Know It's For Real,Donna Summer,1989,92
92,Smooth Criminal,Michael Jackson,1989,93
93,Heavan Help Me,Deon Estus,1989,94
94,Rock Wit'cha,Bobby Brown,1989,95
95,Thinking Of You,Sa-fire,1989,96
96,What You Don't Know,Expose,1989,97
97,Surrender To Me,Ann Wilson and Robin Zander,1989,98
98,The End Of The Innocence,Don Henley,1989,99
99,Keep On Movin',Soul II Soul,1989,100
0,Hold On,Wilson Phillips,1990,1
1,It Must Have Been Love,Roxette,1990,2
2,Nothing Compares 2 U,Sinead O'Connor,1990,3
3,Poison,Bell Biv Devoe,1990,4
4,Vogue,Madonna,1990,5
5,Vision Of Love,Mariah Carey,1990,6
6,Another Day In Paradise,Phil Collins,1990,7
7,Hold On,En Vogue,1990,8
8,Cradle Of Love,Billy Idol,1990,9
9,Blaze Of Glory,Jon Bon Jovi,1990,10
10,Do Me!,Bell Biv Devoe,1990,11
11,How Am I Supposed To Live Without You,Michael Bolton,1990,12
12,Pump Up The Jam,Technotronic,1990,13
13,Opposites Attract,Paula Abdul,1990,14
14,Escapade,Janet Jackson,1990,15
15,All I Wanna Do Is Make Love To You,Heart,1990,16
16,Close To You,Maxi Priest,1990,17
17,Black Velvet,Alannah Myles,1990,18
18,Release Me,Wilson Phillips,1990,19
19,Don't Know Much,Linda Ronstadt and Aaron Neville,1990,20
20,All Around The World,Lisa Stansfield,1990,21
21,I Wanna Be Rich,Calloway,1990,22
22,Rub You The Right Way,Johnny Gill,1990,23
23,She Ain't Worth It,Glenn Medeiros feat. Bobby Brown,1990,24
24,If Wishes Came True,Sweet Sensation,1990,25
25,The Power,Snap,1990,26
26,(Can't Live Without Your) Love And Affection,Nelson,1990,27
27,Love Will Lead You Back,Taylor Dayne,1990,28
28,Don't Wanna Fall In Love,Jane Child,1990,29
29,Two To Make It Right,Seduction,1990,30
30,Sending All My Love,Linear,1990,31
31,Unskinny Bop,Poison,1990,32
32,Step By Step,New Kids On The Block,1990,33
33,Dangerous,Roxette,1990,34
34,We Didn't Start The Fire,Billy Joel,1990,35
35,I Don't Have The Heart,James Ingram,1990,36
36,Downtown Train,Rod Stewart,1990,37
37,Rhythm Nation,Janet Jackson,1990,38
38,I'll Be Your Everything,Tommy Page,1990,39
39,Roam,B-52's,1990,40
40,Everything,Jody Watley,1990,41
41,Back to Life (However Do You Want Me),Soul II Soul,1990,42
42,Here And Now,Luther Vandross,1990,43
43,Alright,Janet Jackson,1990,44
44,Ice Ice Baby,Vanilla Ice,1990,45
45,Blame It On The Rain,Milli Vanilli,1990,46
46,Have You Seen Her,M.C. Hammer,1990,47
47,With Every Beat Of My Heart,Taylor Dayne,1990,48
48,Come Back To Me,Janet Jackson,1990,49
49,No More Lies,Michel'le,1990,50
50,Praying For Time,George Michael,1990,51
51,How Can We Be Lovers,Michael Bolton,1990,52
52,Do You Remember,Phil Collins,1990,53
53,Ready Or Not,After 7,1990,54
54,U Can't Touch This,M.C. Hammer,1990,55
55,I Wish It Would Rain Down,Phil Collins,1990,56
56,Just Between You And Me,Lou Gramm,1990,57
57,Something Happened On The Way To Heaven,Phil Collins,1990,58
58,Black Cat,Janet Jackson,1990,59
59,Can't Stop,After 7,1990,60
60,Janie's Got A Gun,Aerosmith,1990,61
61,The Humpty Dance,Digital Underground,1990,62
62,I'll Be Your Shelter,Taylor Dayne,1990,63
63,Free Fallin',Tom Petty,1990,64
64,Giving You The Benefit,Pebbles,1990,65
65,Enjoy The Silence,Depeche Mode,1990,66
66,Love Song,Tesla,1990,67
67,Price Of Love,Bad English,1990,68
68,Girls Nite Out,Tyler Collins,1990,69
69,King Of Wishful Thinking,Go West,1990,70
70,What Kind Of Man Would I Be?,Chicago,1990,71
71,I Remember You,Skid Row,1990,72
72,Get Up! (Before The Night Is Over),Technotronic,1990,73
73,Here We Are,Gloria Estefan,1990,74
74,Epic,Faith No More,1990,75
75,Love Takes Time,Mariah Carey,1990,76
76,Just Like Jesse James,Cher,1990,77
